Date,Open,High,Low,Close,Adj Close,Volume
1965-11-15,1.171875,1.171875,1.148087,1.148087,0.211078,1108200
1965-11-16,1.148087,1.158103,1.146835,1.155599,0.212459,1138100
1965-11-17,1.156851,1.166867,1.156851,1.163111,0.213840,788700
1965-11-18,1.160607,1.160607,1.143079,1.148087,0.211078,1886900
1965-11-19,1.148087,1.150591,1.133063,1.148087,0.211078,2166500
1965-11-22,1.148087,1.149339,1.136819,1.136819,0.209006,1228000
1965-11-23,1.136819,1.143079,1.136819,1.139323,0.209466,918500
1965-11-24,1.139323,1.141827,1.126803,1.129307,0.207625,1986800
1965-11-26,1.129307,1.141827,1.128055,1.141827,0.209927,3454400
1965-11-29,1.144331,1.151843,1.144331,1.145583,0.210617,1128100
1965-11-30,1.141827,1.141827,1.134315,1.139323,0.209466,1287900
1965-12-01,1.139323,1.143079,1.134315,1.139323,0.209466,1657300
1965-12-02,1.139323,1.149339,1.134315,1.149339,0.211308,1777100
1965-12-03,1.149339,1.150591,1.144331,1.150591,0.211538,968400
1965-12-06,1.145583,1.145583,1.129307,1.140575,0.209696,3134900
1965-12-07,1.140575,1.151843,1.136819,1.149339,0.212521,1837000
1965-12-08,1.146835,1.146835,1.135567,1.141827,0.211131,2086600
1965-12-09,1.141827,1.145583,1.121795,1.136819,0.210205,2056700
1965-12-10,1.135567,1.135567,1.123047,1.131811,0.209279,1757100
1965-12-13,1.133063,1.140575,1.133063,1.136819,0.210205,1577400
1965-12-14,1.136819,1.145583,1.135567,1.143079,0.211363,2006700
1965-12-15,1.143079,1.144331,1.133063,1.143079,0.211363,1767100
1965-12-16,1.143079,1.148087,1.140575,1.148087,0.212289,1577400
1965-12-17,1.141827,1.141827,1.126803,1.134315,0.209743,1926900
1965-12-20,1.134315,1.138071,1.121795,1.134315,0.209743,1367800
1965-12-21,1.134315,1.134315,1.128055,1.133063,0.209511,848600
1965-12-22,1.133063,1.148087,1.133063,1.144331,0.211595,1397700
1965-12-23,1.151843,1.164363,1.151843,1.159355,0.214373,2346200
1965-12-27,1.159355,1.161859,1.155599,1.158103,0.214141,1297900
1965-12-28,1.158103,1.166867,1.151843,1.161859,0.214836,1647300
1965-12-29,1.161859,1.170623,1.161859,1.170623,0.216456,988400
1965-12-30,1.174379,1.191907,1.174379,1.191907,0.220392,1747200
1965-12-31,1.191907,1.198167,1.178135,1.181891,0.218540,2046700
1966-01-03,1.180639,1.180639,1.166867,1.170623,0.216456,1118200
1966-01-04,1.170623,1.184395,1.168119,1.170623,0.216456,1537500
1966-01-05,1.174379,1.186899,1.174379,1.179387,0.218077,1717200
1966-01-06,1.185647,1.198167,1.185647,1.194411,0.220855,1817000
1966-01-07,1.194411,1.199419,1.193159,1.198167,0.221549,1357800
1966-01-10,1.198167,1.201923,1.195663,1.195663,0.221086,2396100
1966-01-11,1.194411,1.194411,1.185647,1.194411,0.220855,1557500
1966-01-12,1.194411,1.200671,1.183143,1.189403,0.219929,1567400
1966-01-13,1.189403,1.190655,1.166867,1.166867,0.215762,1208000
1966-01-14,1.169371,1.178135,1.169371,1.173127,0.216919,1297900
1966-01-17,1.173127,1.174379,1.159355,1.165615,0.215530,1267900
1966-01-18,1.166867,1.176883,1.166867,1.166867,0.215762,1188000
1966-01-19,1.166867,1.173127,1.163111,1.163111,0.215067,1327800
1966-01-20,1.163111,1.170623,1.161859,1.164363,0.215299,1617400
1966-01-21,1.164363,1.179387,1.163111,1.176883,0.217614,1287900
1966-01-24,1.176883,1.176883,1.166867,1.168119,0.215993,1228000
1966-01-25,1.168119,1.176883,1.165615,1.176883,0.217614,1168100
1966-01-26,1.176883,1.184395,1.169371,1.173127,0.216919,1847000
